"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"VAL"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"41 274"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"41 833"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"55 260"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"63 173"
"Число зарегистрированных браков(Человек)"	"2000 год"	"200012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"38 867"
"Число зарегистрированных браков(Человек)"	"2005 год"	"200512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"45 971"
"Число зарегистрированных браков(Человек)"	"2002 год"	"200212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"40 457"
"Число зарегистрированных браков(Человек)"	"2001 год"	"200112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"38 457"
"Число зарегистрированных браков(Человек)"	"2007 год"	"200712"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"60 611"
"Число зарегистрированных браков(Человек)"	"2003 год"	"200312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"43 620"
"Число зарегистрированных браков(Человек)"	"2008 год"	"200812"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"53 045"
"Число зарегистрированных браков(Человек)"	"2006 год"	"200612"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"51 582"
"Число зарегистрированных браков(Человек)"	"2004 год"	"200412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"45 172"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"47 030"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"58 359"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"49 842"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"60 953"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"54 156"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"сельская местность"	"0"	"61 792"
