"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"VAL"
"Число умерших(Человек)"	"2009 год"	"200912"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 652"
"Число умерших(Человек)"	"2011 год"	"201112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 474"
"Число умерших(Человек)"	"2000 год"	"200012"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 365"
"Число умерших(Человек)"	"2005 год"	"200512"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 087"
"Число умерших(Человек)"	"2001 год"	"200112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 241"
"Число умерших(Человек)"	"2002 год"	"200212"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 255"
"Число умерших(Человек)"	"2007 год"	"200712"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 888"
"Число умерших(Человек)"	"2003 год"	"200312"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 225"
"Число умерших(Человек)"	"2006 год"	"200612"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 090"
"Число умерших(Человек)"	"2008 год"	"200812"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 760"
"Число умерших(Человек)"	"2004 год"	"200412"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 050"
"Число умерших(Человек)"	"2016 год"	"201612"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 512"
"Число умерших(Человек)"	"2010 год"	"201012"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 598"
"Число умерших(Человек)"	"2015 год"	"201512"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 479"
"Число умерших(Человек)"	"2013 год"	"201312"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 464"
"Число умерших(Человек)"	"2014 год"	"201412"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 462"
"Число умерших(Человек)"	"2012 год"	"201212"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 741"
