"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"VAL"
"Естественный прирост населения(Человек)"	"2009 год"	"200912"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 668"
"Естественный прирост населения(Человек)"	"2016 год"	"201612"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"9 616"
"Естественный прирост населения(Человек)"	"2010 год"	"201012"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 004"
"Естественный прирост населения(Человек)"	"2000 год"	"200012"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 024"
"Естественный прирост населения(Человек)"	"2005 год"	"200512"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 054"
"Естественный прирост населения(Человек)"	"2002 год"	"200212"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 389"
"Естественный прирост населения(Человек)"	"2001 год"	"200112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 233"
"Естественный прирост населения(Человек)"	"2007 год"	"200712"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 042"
"Естественный прирост населения(Человек)"	"2003 год"	"200312"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 652"
"Естественный прирост населения(Человек)"	"2008 год"	"200812"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 157"
"Естественный прирост населения(Человек)"	"2006 год"	"200612"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 336"
"Естественный прирост населения(Человек)"	"2004 год"	"200412"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 732"
"Естественный прирост населения(Человек)"	"2011 год"	"201112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 848"
"Естественный прирост населения(Человек)"	"2014 год"	"201412"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"9 383"
